Thu Dec  1 16:36:25 2022    ./Profile

         95017 function calls (92189 primitive calls) in 82.785 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      461    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      484    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 subprocess.py:1101(_close_pipe_fds)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      537    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
      125    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
       10    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.generic' objects}
       38    0.000    0.000    0.000    0.000 enum.py:938(__and__)
       10    0.000    0.000    0.000    0.000 numeric.py:1686(indices)
      100    0.000    0.000    0.000    0.000 numeric.py:1397(<listcomp>)
       10    0.000    0.000    0.000    0.000 fromnumeric.py:38(_wrapit)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       21    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       20    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_cache_bytecode)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       14    0.000    0.000    0.000    0.000 core.py:8149(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(allclose)
        1    0.000    0.000    0.000    0.000 numeric.py:2194(allclose)
      330    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1085(set_data)
     1137    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8154(getdoc)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       88    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1137    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
       70    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isclose)
      139    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
