Thu Dec  1 16:04:08 2022    ./Profile

         104550 function calls (101758 primitive calls) in 5.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       38    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
6227/5892    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.001    0.001 twodim_base.py:376(tri)
      479    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      314    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {method 'outer' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 A1_functionKL2.py:65(KSD)
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
       70    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1575(_array_str_implementation)
     4881    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      175    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       50    0.000    0.000    0.000    0.000 core.py:130(get_object_signature)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
     1680    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      309    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     1571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      568    0.000    0.000    0.000    0.000 <string>:1(__new__)
      107    0.000    0.000    0.000    0.000 re.py:188(match)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
     1000    0.000    0.000    0.000    0.000 numeric.py:853(_outer_dispatcher)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
     1790    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       52    0.000    0.000    0.000    0.000 core.py:887(__init__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(allclose)
       26    0.000    0.000    0.000    0.000 core.py:6801(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:2194(allclose)
     3160    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
     2002    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      314    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 subprocess.py:984(communicate)
      823    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       65    0.000    0.000    0.000    0.000 enum.py:75(__setitem__)
       26    0.000    0.000    0.000    0.000 core.py:6806(getdoc)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isclose)
       23    0.000    0.000    0.000    0.000 overrides.py:200(decorator)
        1    0.000    0.000    0.000    0.000 numeric.py:2273(isclose)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      152    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      685    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
     1393    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       14    0.000    0.000    0.000    0.000 re.py:223(split)
      461    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
     1076    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      537    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      125    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      484    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      332    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       14    0.000    0.000    0.000    0.000 core.py:8149(__init__)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      484    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       38    0.000    0.000    0.000    0.000 enum.py:938(__and__)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        5    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(expand_dims)
       14    0.000    0.000    0.000    0.000 core.py:8154(getdoc)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 subprocess.py:1101(_close_pipe_fds)
     1137    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 enum.py:500(<listcomp>)
       70    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1137    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(mean)
        7    0.000    0.000    0.000    0.000 shape_base.py:512(expand_dims)
      977    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       21    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       87    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       88    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
